City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,fale old settlement,-9.3852,-171.2468,29.28,72,37,7.2,TK,1701323502
121,awjilah,29.1081,21.2869,15.52,37,57,2.35,LY,1701323502
122,wschowa,51.807,16.3166,-2.27,78,68,2.74,PL,1701323502
123,tobol'sk,58.2,68.2667,-4.66,85,100,3.58,RU,1701323503
124,campbellton,48.0075,-66.6727,-9.75,71,37,1.81,CA,1701323503
125,montepuez,-13.1256,38.9997,29.03,50,37,2.95,MZ,1701323503
126,gadzhiyevo,69.2551,33.3362,-1.36,94,100,5.58,RU,1701323503
127,ntoum,0.3833,9.7833,24.87,92,56,0.55,GA,1701323504
128,newman,37.3138,-121.0208,9.05,85,6,1.4,US,1701323504
129,lata,40.1629,-8.3327,17.12,97,100,3.76,PT,1701323504
130,florence,43.7667,11.25,10.61,96,75,1.03,IT,1701323504
131,dunedin,-45.8742,170.5036,9.89,87,100,1.34,NZ,1701323205
132,colonia,50.9333,6.95,2.14,91,75,2.57,DE,1701323392
133,nikolayevsk-on-amure,53.1406,140.73,-16.05,81,13,2.57,RU,1701323505
134,iecava,56.5986,24.2022,-5.1,97,100,0.88,LV,1701323505
135,carutapera,-1.195,-46.02,25.41,82,4,2.71,BR,1701323505
136,constantia,44.1833,28.65,1.5,77,59,2.43,RO,1701323336
137,at taj,24.2049,23.2857,15.76,32,7,2.06,LY,1701323506
138,arteche,12.2645,125.4048,27.35,89,57,3.75,PH,1701323506
139,san luis ixcan,15.7872,-91.095,21.26,97,72,0.94,GT,1701323506
140,labuan bajo,-8.4964,119.8877,29.94,70,75,1.07,ID,1701323506
141,kristiansund,63.1115,7.732,-2.64,68,0,2.57,NO,1701323506
142,thompson,55.7435,-97.8558,-21.91,84,0,3.6,CA,1701323507
143,khash,28.2211,61.2158,15.56,47,1,0.3,IR,1701323507
144,zhangjiajie,29.1294,110.4783,7.5,45,100,1.95,CN,1701323507
145,viveiro,43.6623,-7.5934,11.41,76,100,7.41,ES,1701323507
146,belel,7.05,14.4333,19.08,43,80,0.57,CM,1701323507
147,saba,15.4667,-86.25,19.39,98,63,1.08,HN,1701323508
148,puerto aysen,-45.4,-72.7,9.86,99,100,2.31,CL,1701323508
149,huittinen,61.1833,22.7,-7.95,92,99,3.3,FI,1701323508
150,nizhniy odes,63.6445,54.856,-7.85,97,100,1.47,RU,1701323508
151,ancud,-41.8697,-73.8203,11.26,90,99,5.02,CL,1701323508
152,port douglas,-16.4833,145.4667,27.84,68,63,1.94,AU,1701323509
153,hermanus,-34.4187,19.2345,21.65,52,89,3.17,ZA,1701323509
154,punta arenas,-53.15,-70.9167,6.06,75,40,11.32,CL,1701323399
155,hilo,19.7297,-155.09,25.85,94,0,0.89,US,1701323456
156,ola,59.5833,151.2833,-21.59,81,14,2.49,RU,1701323509
157,ribeira grande,38.5167,-28.7,14.87,70,39,13.86,PT,1701323510
158,minas de marcona,-15.2119,-75.1103,13.56,87,57,4.49,PE,1701323510
159,alo,7.4178,6.7371,24.78,83,99,1.2,NG,1701323510
160,abou el hassan,36.4166,1.1962,11.69,60,13,3.26,DZ,1701323510
161,bukama,-9.2,25.85,22.79,90,100,0.22,CD,1701323510
162,villa gesell,-37.2639,-56.973,16.43,86,0,4.21,AR,1701323511
163,ulsteinvik,62.3432,5.8487,2.09,66,99,0.89,NO,1701323511
164,mahibadhoo,3.7833,72.9667,28.35,72,42,2.02,MV,1701323511
165,shiguai,40.7058,110.2856,-5.94,33,0,7.2,CN,1701323511
166,atafu village,-8.5421,-172.5159,29.33,73,42,6.93,TK,1701323511
167,enoch,37.7733,-113.0244,3.14,75,75,2.06,US,1701323512
168,paita,-5.0892,-81.1144,20.32,79,10,3.67,PE,1701323512
169,afaahiti,-17.75,-149.2833,26.93,89,97,9.49,PF,1701323512
170,purwakarta,-6.5569,107.4433,31.68,64,81,1.46,ID,1701323512
171,port blair,11.6667,92.75,29.02,74,100,3.6,IN,1701323512
172,guarapari,-20.6667,-40.4975,25.5,91,100,5.8,BR,1701323513
173,coquimbo,-29.9533,-71.3436,14.85,88,0,1.54,CL,1701323513
